ast,stl,blk,tov,pf,pts,name,position,team
1.422222222222222,0.8333333333333335,0.2333333333333333,1.0555555555555556,1.7777777777777777,6.044444444444444,Stanley Johnson,PF,TOR
1.042857142857143,0.55,0.15,0.5285714285714286,1.2642857142857142,6.564285714285715,Reggie Bullock,SF,NYK
2.0350000000000006,0.7450000000000002,0.86,1.3350000000000002,2.33,7.245,James Johnson,PF,DAL
2.35,0.8750000000000001,0.5166666666666666,1.6,2.9250000000000003,11.041666666666666,Kelly Olynyk,PF,HOU
2.3399999999999994,0.6199999999999999,0.38,1.86,1.96,17.006666666666664,Kevin Love,PF,CLE
0.65,0.225,0.125,0.425,0.875,3.025,Vlatko Čančar,PF,DEN
1.4666666666666668,0.6583333333333333,0.3833333333333333,0.7583333333333334,1.4666666666666666,9.124999999999998,Jeremy Lamb,SG,IND
1.9277777777777767,0.6555555555555556,1.1555555555555554,1.4555555555555553,2.333333333333334,18.08333333333333,LaMarcus Aldridge,C,SAS
0.925,0.375,0.15,0.525,1.4,8.225,Max Strus,SF,MIA
4.985714285714286,1.3142857142857145,0.3857142857142857,1.6,2.028571428571429,13.857142857142858,Fred VanVleet,SG,TOR
1.7,0.5799999999999998,0.2,0.94,1.4,9.38,Grayson Allen,SG,MEM
1.05,0.1,0.0,0.2,0.7,2.6,Jordan Bone,PG,ORL
2.8,0.425,0.1,1.175,1.325,6.55,Frank Mason III,PG,ORL
0.625,0.65,0.275,0.175,1.525,2.725,Justin Patton,C,HOU
0.28,0.26,0.1399999999999999,0.36,1.3,3.4799999999999995,Alfonzo McKinnie,SF,LAL
0.9666666666666668,0.2666666666666666,0.0666666666666666,0.2666666666666666,0.3666666666666667,2.833333333333333,Jared Harper,PG,NYK
1.73,1.09,0.2499999999999999,1.05,1.87,11.49,Kentavious Caldwell-Pope,SG,LAL
1.9250000000000005,0.75,0.175,1.375,1.875,14.95,Keldon Johnson,SF,SAS
4.8625,0.8625,0.3,3.0875,2.9250000000000003,24.225,Devin Booker,SG,PHO
2.7416666666666667,0.75,0.8999999999999999,1.5583333333333331,2.841666666666667,8.691666666666668,Mason Plumlee,C,DET
0.55,0.5,1.0,0.6,2.1,3.95,Freddie Gillespie,PF,TOR
0.9692307692307692,0.2076923076923076,0.1153846153846153,0.6615384615384614,1.4307692307692308,8.86153846153846,Doug McDermott,PF,IND
